Field=#~Integer~#~50|Field=Description~String~Description~107|Field=Quantity~Integer~Quantity~54|Field=Supplier 1~String~Supplier 1~62|Field=Supplier Part Number 1~String~Supplier Part Number 1~62|Field=Category~String~Category~49|Field=LibRef~String~LibRef~49|Field=Manufacturer 1~String~Manufacturer 1~64|Field=Manufacturer Part Number 1~String~Manufacturer Part Number 1~46|Field=Supplier Currency 1~String~Supplier Currency 1~46|Field=Supplier Order Qty 1~Integer~Supplier Order Qty 1~65|Field=Supplier Stock 1~Integer~Supplier Stock 1~44|Field=Supplier Subtotal 1~Float~Supplier Subtotal 1~44|Field=Supplier Unit Price 1~Float~Supplier Unit Price 1~52|Field=Footprint~String~Footprint~66|Field=Designator~String~Designator~66|ReportField=Currency~EUR|ReportField=ProductionQuantity~4|ReportField=ProjectFileName~Motor_driver.PrjPcb|ReportField=ProjectFullPath~C:\Users\vojislav\OneDrive\IRNAS-Common\Electronics-Development\NewHarvest-incubator\Motor_driver\Motor_driver.PrjPcb|ReportField=Title~Bill of Materials production For Project [Motor_driver.PrjPcb] (No PCB Document Selected)|ReportField=ReportTime~11:35:57 AM|ReportField=ReportDate~11/25/2018|ReportField=ReportDateTime~11/25/2018 11:35:57 AM|ReportField=OutputName~Bill of Materials production|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=TotalQuantity~34|ReportField=TotalActualPrice~0|ReportField=TotalTargetPrice~0|ReportField=VersionControl_RevNumber~|ReportField=VersionControl_ProjFolderRevNumber~|ReportField=Company~IRNAS|ReportField=ProjectTitle~Motor_driver|ReportField=Version~V0.2|ReportField=website~irnas.eu|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~11/25/2018|ReportField=CurrentTime~11:35:11 AM|ReportField=Date~|ReportField=DocumentFullPathAndName~C:\Users\vojislav\OneDrive\IRNAS-Common\Electronics-Development\NewHarvest-incubator\Motor_driver\PAGE1-CONTENTS.SchDoc|ReportField=DocumentName~PAGE1-CONTENTS.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~10/23/2018|ReportField=Organization~|ReportField=ProjectName~Motor_driver.PrjPcb|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~|ReportField=SheetTotal~|ReportField=Time~|ReportField=Title~|ReportField=DataSourceFileName~Motor_driver.PrjPcb|ReportField=DataSourceFullPath~C:\Users\vojislav\OneDrive\IRNAS-Common\Electronics-Development\NewHarvest-incubator\Motor_driver\Motor_driver.PrjPcb|ReportField=PCBConfigurationName~Sources|ReportField=Item~|ReportField=ItemRevision~|ReportField=ItemAndRevision~|ReportField=ItemRevisionBase~|ReportField=ItemRevisionLevel1~|ReportField=ItemRevisionLevel2~|ReportField=ItemRevisionLevel1AndBase~|ReportField=ItemRevisionLevel2AndLevel1~
1|SENSOR OPTO SLOT 3MM TRANS SMD|2|Farnell|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DVishay%2520Semiconductors%26mpn%3DTCUT1300X01%26seller%3DFarnell%26sku%3D2251270%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}2251270{URL.TIP}Supplier||TCUT1300X01|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DVishay%2520Semiconductors%26mpn%3DTCUT1300X01%26seller%3DFarnell%26sku%3D2251270%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}Vishay%20Semiconductors{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DVishay%2520Semiconductors%26mpn%3DTCUT1300X01%26seller%3DFarnell%26sku%3D2251270%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}TCUT1300X01{URL.TIP}Manufacturer|EUR|8|0|9.49|1.19|END_switch|U2, U3
2|RES SMD 0.0OHM JUMPER 1/20W 0201|14|Farnell|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DVishay%26mpn%3DCRCW02010000Z0ED%26seller%3DFarnell%26sku%3D2139811%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}2139811{URL.TIP}Supplier||0R|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DVishay%26mpn%3DCRCW02010000Z0ED%26seller%3DFarnell%26sku%3D2139811%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}Vishay{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DVishay%26mpn%3DCRCW02010000Z0ED%26seller%3DFarnell%26sku%3D2139811%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}CRCW02010000Z0ED{URL.TIP}Manufacturer|EUR|56|37270|1.65|0.03|0603res|R1, R3, R6, R8, R11, R12, R13, R14, R15, R16, R17, R18, R19, R20
3|RES SMD 10K OHM 1% 1/20W 0201|4|Farnell|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DVishay%26mpn%3DCRCW020110K0FNED%26seller%3DFarnell%26sku%3D2140192%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}2140192{URL.TIP}Supplier||10K|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DVishay%26mpn%3DCRCW020110K0FNED%26seller%3DFarnell%26sku%3D2140192%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}Vishay{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DVishay%26mpn%3DCRCW020110K0FNED%26seller%3DFarnell%26sku%3D2140192%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}CRCW020110K0FNED{URL.TIP}Manufacturer|EUR|16|20623|0.48|0.03|0603res|R5, R10, R21, R22
4|AMP FROM TE CONNECTIVITY         1-2178711-4             Wire-To-Board Connector, Micro-MaTch Value-Line Series, 14 Contacts, Receptacle, 1.27 mm|2|Farnell|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DTE%2520Connectivity%2520AMP%26mpn%3D1-2178711-4%26seller%3DFarnell%26sku%3D2473362%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}2473362{URL.TIP}Supplier||micro_Match|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DTE%2520Connectivity%2520AMP%26mpn%3D1-2178711-4%26seller%3DFarnell%26sku%3D2473362%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}TE%20Connectivity%20AMP{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DTE%2520Connectivity%2520AMP%26mpn%3D1-2178711-4%26seller%3DFarnell%26sku%3D2473362%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}1-2178711-4{URL.TIP}Manufacturer|EUR|8|636|11.57|1.45|micro_Match|P3, P4
5|Cap Aluminum Lytic 100uF 50V 20% (8 X 10.2mm) SMD 350mA 2000h 105C Automotive T/R|1|Farnell|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DPanasonic%26mpn%3DEEE-FK1H101P%26seller%3DFarnell%26sku%3D9695958%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}9695958{URL.TIP}Supplier||100uF|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DPanasonic%26mpn%3DEEE-FK1H101P%26seller%3DFarnell%26sku%3D9695958%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}Panasonic{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DPanasonic%26mpn%3DEEE-FK1H101P%26seller%3DFarnell%26sku%3D9695958%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}EEE-FK1H101P{URL.TIP}Manufacturer|EUR|4|9799|2.81|0.7|EEEFK1J470P|C1
6|RES SMD 330 OHM 0.1% 1/10W 0603|2|Digi-Key|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DPanasonic%26mpn%3DERA-3AEB331V%26seller%3DDigi-Key%26sku%3DP330DBTR-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}P330DBTR-ND{URL.TIP}Supplier|Resistors|330R|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DPanasonic%26mpn%3DERA-3AEB331V%26seller%3DDigi-Key%26sku%3DP330DBTR-ND%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}Panasonic{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DPanasonic%26mpn%3DERA-3AEB331V%26seller%3DDigi-Key%26sku%3DP330DBTR-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}ERA-3AEB331V{URL.TIP}Manufacturer|EUR|5000|75000|163.92|0.03|0603res|R2, R4
7|ON SEMICONDUCTOR         NRVTS245ESFT1G             Schottky Rectifier, Single, 45 V, 2 A, SOD-123, 2 Pins, 650 mV|1|Farnell|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DON%2520Semiconductor%26mpn%3DNRVTS245ESFT1G%26seller%3DFarnell%26sku%3D2473409%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}2473409{URL.TIP}Supplier||NRVTS245ESFT1G|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DON%2520Semiconductor%26mpn%3DNRVTS245ESFT1G%26seller%3DFarnell%26sku%3D2473409%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}ON%20Semiconductor{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DON%2520Semiconductor%26mpn%3DNRVTS245ESFT1G%26seller%3DFarnell%26sku%3D2473409%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}NRVTS245ESFT1G{URL.TIP}Manufacturer|EUR|5|4044|1.24|0.25|Schotky|D1
8|74AHC1G14GW@125|2|Farnell|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DNexperia%26mpn%3D74AHC1G14GW%252C125%26seller%3DFarnell%26sku%3D1085241%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}1085241{URL.TIP}Supplier||74AHC1G14GW@125|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DNexperia%26mpn%3D74AHC1G14GW%252C125%26seller%3DFarnell%26sku%3D1085241%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}Nexperia{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DNexperia%26mpn%3D74AHC1G14GW%252C125%26seller%3DFarnell%26sku%3D1085241%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}74AHC1G14GW,125{URL.TIP}Manufacturer|EUR|8|5995|1.4|0.18|SOT65P212X112-5N|J2, J3
9|INFINEON         IRLML6346TRPBF.             MOSFET Transistor, N Channel, 3.4 A, 30 V, 0.046 ohm, 4.5 V, 800 mV|1|Farnell|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DInfineon%26mpn%3DIRLML6346TRPBF%26seller%3DFarnell%26sku%3D1857300%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}1857300{URL.TIP}Supplier|Discrete Semiconductor Products|IRLML6346TRPBF|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DInfineon%26mpn%3DIRLML6346TRPBF%26seller%3DFarnell%26sku%3D1857300%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}Infineon{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DInfineon%26mpn%3DIRLML6346TRPBF%26seller%3DFarnell%26sku%3D1857300%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}IRLML6346TRPBF{URL.TIP}Manufacturer|EUR|5|26232|1.35|0.27|SOT_Nmos|J1
10|DC 2.1mm connector|1|Farnell|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DCliff%26mpn%3DFC68148S%26seller%3DFarnell%26sku%3D1889309%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}1889309{URL.TIP}Supplier||DC 2.1mm power connector|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DCliff%26mpn%3DFC68148S%26seller%3DFarnell%26sku%3D1889309%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}Cliff{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DCliff%26mpn%3DFC68148S%26seller%3DFarnell%26sku%3D1889309%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}FC68148S{URL.TIP}Manufacturer|EUR|10|4089|8.18|0.82|DC power connector|P5
